EngCombinedExp,NonIndiaHrsPED,LaborEffortPED,TotalHoursPED,PrincipalProjectCountPED,PMProjectCountPED,LaborHrsPED,EngUniqueCount,EngProjectCountPED,EngHoursPED,EmpCountPED,EffortAmtPED,TypeCode,ProjectManager,ProjectEngineer,Principal,ParentClientTypeCode,ParentClientCode,OwningOrgCode,DivisionHead,ClientTypeCode,ClientState,ClientCode,ClientCity,TotalLaborBudgetEffort,HoursPTD,TotalBudgetHours,TotalBudgetEffort,LaborRevenueMTD,LaborCostMTD,LaborOverheadMTD,EffortMTD,BillingMTD,per_com_laborMTD,per_used_laborMTD,profit,wip
0.0,31.5,2548.5200000000004,31.5,0,11,31.5,0,11,0.0,16,2603.6500000000005,p06,121014,121014.0,121012,de,uptown,z91,121012,de,texas,uptown,houston,2548.52,0.0,0.0,25485.2,2548.52,910.1899999999999,0.0,2603.65,2603.63,1.0,0.09999999999999999,1,-55.11000000000013
300.35887499999995,770.75,45814.18000000001,770.75,1196,382,770.75,91,653,582.25,381,48369.01000000002,p06,230173,230173.0,230173,de,louett,t03,230009,de,texas,louett,houston,5000.0,0.0,55.0,937500.0,40510.9,9766.85,19748.315675,29553.129999999994,56857.39000000001,15.895853279550485,0.04321162666666667,1,17753.47000000001
21.189041,9.0,607.49,9.0,141,71,9.0,1,71,3.0,5,607.49,e02,230018,230018.0,230021,ar,kenn,c03,230009,ar,missouri,kenn,st. louis,6000.0,0.0,86.0,42000.0,6000.0,216.96,433.70304000000004,607.49,6000.0,2.3543075981353883,0.14285714285714285,1,0.0
53.36163800000001,19.0,1173.18,19.0,599,87,19.0,15,385,13.0,39,1427.79,p06,230195,230141.0,230021,ar,zca,c03,230009,ar,texas,zca,houston,0.0,0.0,0.0,209000.0,12681.96,458.4,930.186018,1386.1200000000001,235.44999999999982,4.976205797874845,0.06067923444976076,1,18634.989999999998
43.47945,11.5,907.59,11.5,269,41,11.5,6,112,11.5,14,933.65,c06,230125,230018.0,230021,ar,j*r,c03,230009,ar,texas,j*r,houston,4800.0,2.5,70.0,48000.0,1200.0,302.53000000000003,573.544123,933.6500000000001,1211.3000000000002,0.4708615196270777,0.025,1,-11.300000000000182
349.3479080000001,1133.5,76634.88,1133.5,1586,749,1133.5,103,1469,492.0,645,90017.47000000002,p06,230172,230021.0,230021,ar,j*r,c03,230009,ar,texas,j*r,houston,55383.46,0.0,716.0,1909854.1799999992,64288.46,36865.95999999999,73474.86462600001,116713.39000000001,74545.73000000001,25.225801641737164,0.033661449483017615,0,-6147.270000000004
423.18901300000005,443.5,28424.19,443.5,1021,1021,443.5,70,411,390.0,253,29481.329999999994,p06,230021,230175.0,230021,de,cdc,c03,230009,de,texas,cdc,houston,42621.19,0.0,500.0,1065529.7499999993,42621.19,12765.949999999999,25471.413577000007,41175.21,43322.38,16.723898576428674,0.04000000000000003,1,4709.580000000009
0.0,1.5,73.5,1.5,0,65,1.5,0,65,0.0,5,75.94,h07,230160,230160.0,230146,go,h*c,o04,230009,go,texas,hcid1,houston,9500.0,0.0,130.0,85500.0,9500.0,3202.59,6401.97741,9072.62,9500.0,3.7276536970476983,0.1111111111111111,0,80886.51000000001
24.210956,77.5,4614.500000000001,77.5,332,29,77.5,6,199,16.5,90,4649.160000000001,p06,230195,230141.0,230021,ar,j*r,c03,230009,ar,texas,j*r,houston,6031.9,0.0,85.0,78414.7,6031.9,3508.74,7025.826999,10592.89,6031.900000000001,2.3668246668654747,0.07692307692307693,0,-9.094947017729282e-13
0.0,0.0,0.0,0.0,182,86,0.0,0,86,0.0,0,0.0,e02,230173,230173.0,230021,ar,heery,t03,230009,ar,florida,heery,tampa,2000.0,0.0,30.0,18000.0,2000.0,361.42,722.47858,1030.13,2000.0,0.7847691993784628,0.1111111111111111,1,0.0
